sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
VEG-DEL-HG-32,Vegware,Hinged Lid Deli Container,Food Containers,,,PLA,75.00,200,Case (200): £75.00 | Pack (50): £48.57,"The Vegware PLA Hinged Lid Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid for deli containers, keeping salads, sides, and prepared foods fresh and visible. Snaps firmly for leak-resistant sealing. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Hinged Lid Deli Container. Compostable.,"Vegware PLA Hinged Lid Deli Container - secure-fit lid for deli containers. Clear for content visibility. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Hinged Lid Deli Container Compostable | Afida,Shop Vegware PLA Hinged Lid Deli Container - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-RD-32,Vegware,Round Deli Container,Food Containers,,,PLA,126.95,500,Case (500): £126.95 | Pack (50): £27.19,"The Vegware PLA Round Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A clear deli container that showcases salads, sides, fruit, pasta, and prepared foods. The hinged lid provides a tamper-evident seal and easy one-handed opening. Stackable for efficient display on deli counters and in fridges. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Round Deli Container. Compostable.,"Vegware PLA Round Deli Container - clear deli container for salads, sides, and prepared foods. Tamper-evident. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Deli Container Compostable | Afida,Shop Vegware PLA Round Deli Container - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BWL-BW-32-KR,Vegware,"Lined Food Bowl, 185 Series",Food Containers,,,Kraft,73.98,300,,"The Vegware kraft Lined Food Bowl, 185 Series is constructed from kraft board, an unbleached paper with natural strength. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware kraft Lined Food Bowl, 185 Series.","Vegware kraft Lined Food Bowl, 185 Series - versatile food bowl for hot and cold dishes. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Lined Food Bowl, 185 Series Kraft | Afida","Shop Vegware kraft Lined Food Bowl, 185 Series. Cases of 300. Free UK delivery over £100. Order at Afida.",
VEG-BWL-BW-32,Vegware,"Lined Food Bowl, 185 Series",Food Containers,,,PLA,73.98,300,Case (300): £73.98 | Pack (50): £25.84,"The Vegware PLA Lined Food Bowl, 185 Series is lined with PLA, a plant-based bioplastic derived from cornstarch. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware PLA Lined Food Bowl, 185 Series.","Vegware PLA Lined Food Bowl, 185 Series - versatile food bowl for hot and cold dishes. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Lined Food Bowl, 185 Series Pla | Afida","Shop Vegware PLA Lined Food Bowl, 185 Series. Cases of 300. Free UK delivery over £100. Order at Afida.",
VEG-SPC-32,Vegware,Soup Container 115 Series,Food Containers,,,,61.77,500,Case (500): £61.77 | Pack (25): £7.84,"The Vegware Soup Container 115 Series. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.",Vegware Soup Container 115 Series.,"Vegware Soup Container 115 Series - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Soup Container 115 Series | Afida,Shop Vegware Soup Container 115 Series. Cases of 500. Free UK delivery over £100. Order at Afida.,
VEG-CNT-RC-34-KR,Vegware,Rectangular Food Container,Food Containers,34 oz,,Kraft,50.16,300,,"The Vegware 34 oz kraft Rectangular Food Container is constructed from kraft board, an unbleached paper with natural strength. A rectangular food container that accommodates baguettes, wraps, kebabs, and longer food items. The elongated shape provides an efficient fit. Works with compatible lids. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 34 oz kraft Rectangular Food Container. Compostable.,"Vegware 34 oz kraft Rectangular Food Container - rectangular container for baguettes, wraps, and long items. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Rectangular Food Container 34 oz Compostable | Afida,Shop Vegware 34 oz kraft Rectangular Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BWL-RD-34-KR,Vegware,Round Food Container,Food Containers,,,Kraft,46.92,300,,"The Vegware kraft Round Food Container is constructed from kraft board, an unbleached paper with natural strength. A round food container suitable for meal prep, storage, and takeaway. The round shape is easy to eat from and fits standard microwave turntables. Works with compatible snap-on lids for sealed storage. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware kraft Round Food Container. Compostable.,"Vegware kraft Round Food Container - round food container for meal prep, storage, and takeaway. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Food Container Compostable | Afida,Shop Vegware kraft Round Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-CNT-RC-34-BK,Vegware,Rectangular Food Container,Food Containers,,Black,,50.16,300,,"The Vegware black Rectangular Food Container. A rectangular food container that accommodates baguettes, wraps, kebabs, and longer food items. The elongated shape provides an efficient fit. Works with compatible lids. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware black Rectangular Food Container. Compostable.,"Vegware black Rectangular Food Container - rectangular container for baguettes, wraps, and long items. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Rectangular Food Container Compostable | Afida,Shop Vegware Rectangular Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BWL-RD-34-BK,Vegware,Round Food Container,Food Containers,,Black,,46.92,300,,"The Vegware black Round Food Container. A round food container suitable for meal prep, storage, and takeaway. The round shape is easy to eat from and fits standard microwave turntables. Works with compatible snap-on lids for sealed storage. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware black Round Food Container. Compostable.,"Vegware black Round Food Container - round food container for meal prep, storage, and takeaway. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Food Container Compostable | Afida,Shop Vegware Round Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-POT-3,Vegware,Cold Portion Pot,Food Containers,,,PLA,68.78,2000,Case (2000): £68.78 | Pack (100): £7.11,"The Vegware PLA Cold Portion Pot is lined with PLA, a plant-based bioplastic derived from cornstarch. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Cold Portion Pot.,"Vegware PLA Cold Portion Pot - small pot for sauces, dressings, and condiments. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Cold Portion Pot Pla | Afida,Shop Vegware PLA Cold Portion Pot. Cases of 2000. Free UK delivery over £100. Order at Afida.,
VEG-DEL-HG-48,Vegware,Hinged Lid Deli Container,Food Containers,,,PLA,95.36,200,Case (200): £95.36 | Pack (50): £56.40,"The Vegware PLA Hinged Lid Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid for deli containers, keeping salads, sides, and prepared foods fresh and visible. Snaps firmly for leak-resistant sealing. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Hinged Lid Deli Container. Compostable.,"Vegware PLA Hinged Lid Deli Container - secure-fit lid for deli containers. Clear for content visibility. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Hinged Lid Deli Container Compostable | Afida,Shop Vegware PLA Hinged Lid Deli Container - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BWL-BW-48-KR,Vegware,"Lined Food Bowl, 185 Series",Food Containers,,,Kraft,79.99,300,,"The Vegware kraft Lined Food Bowl, 185 Series is constructed from kraft board, an unbleached paper with natural strength. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware kraft Lined Food Bowl, 185 Series.","Vegware kraft Lined Food Bowl, 185 Series - versatile food bowl for hot and cold dishes. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Lined Food Bowl, 185 Series Kraft | Afida","Shop Vegware kraft Lined Food Bowl, 185 Series. Cases of 300. Free UK delivery over £100. Order at Afida.",
VEG-BWL-BW-48,Vegware,"Lined Food Bowl, 185 Series",Food Containers,,,PLA,79.99,300,Case (300): £79.99 | Pack (50): £28.27,"The Vegware PLA Lined Food Bowl, 185 Series is lined with PLA, a plant-based bioplastic derived from cornstarch. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware PLA Lined Food Bowl, 185 Series.","Vegware PLA Lined Food Bowl, 185 Series - versatile food bowl for hot and cold dishes. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Lined Food Bowl, 185 Series Pla | Afida","Shop Vegware PLA Lined Food Bowl, 185 Series. Cases of 300. Free UK delivery over £100. Order at Afida.",
